0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
43,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
44,Block,1,Face,4,Pattern,BlackSquare,action,RotateLeft
45,Block,1,Face,4,Pattern,BlackSquare,action,RotateLeft
46,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
47,Block,1,Face,1,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceOne
48,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateLeft
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
4,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateRight
5,Block,9,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
6,Block,9,Face,4,Pattern,BlackSquare,action,GoToFaceFour
7,Block,9,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
8,Block,9,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,9,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
10,Block,9,Face,5,Pattern,BlackSquare,action,GoToFaceFive
11,Block,9,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
12,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
13,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
15,Block,8,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
16,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateRight
17,Block,8,Face,5,Pattern,BlackSquare,action,GoToFaceFive
18,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
20,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
21,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
22,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
23,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
24,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
25,Block,6,Face,2,Pattern,WhiteSquare,action,RotateLeft
26,Block,6,Face,2,Pattern,WhiteSquare,action,RotateLeft
27,Block,6,Face,1,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceOne
28,Block,6,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateRight
29,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
30,Block,6,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
31,Block,6,Face,6,Pattern,BlackBottomRightCornerSquare,action,RotateRight
32,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
33,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
34,Block,6,Face,3,Pattern,WhiteSquare,action,RotateRight
35,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
36,Block,6,Face,2,Pattern,WhiteSquare,action,RotateRight
37,Block,6,Face,5,Pattern,BlackSquare,action,GoToFaceFive
38,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
39,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
40,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
41,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
42,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
43,Block,4,Face,5,Pattern,BlackSquare,action,GoToFaceFive
44,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
45,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
46,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
47,Block,3,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
48,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateRight
49,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
50,Block,3,Face,4,Pattern,BlackSquare,action,RotateLeft
51,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
52,Block,3,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
53,Block,3,Face,6,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
54,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
55,Block,3,Face,6,Pattern,BlackTopLeftCornerSquare,action,GoToFaceSix
56,Block,3,Face,6,Pattern,BlackTopRightCornerSquare,action,RotateRight
57,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
58,Block,3,Face,5,Pattern,BlackSquare,action,RotateRight
59,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
60,Block,3,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
61,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
62,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
63,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
64,Block,2,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
65,Block,2,Face,3,Pattern,WhiteSquare,action,RotateRight
66,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
67,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
68,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
69,Block,1,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
70,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
71,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
72,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
73,Block,1,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
74,Block,1,Face,6,Pattern,BlackBottomRightCornerSquare,action,RotateRight
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,5,Pattern,BlackSquare,action,GoToFaceFive
4,Block,9,Face,4,Pattern,BlackSquare,action,GoToFaceFour
5,Block,9,Face,4,Pattern,BlackSquare,action,RotateRight
6,Block,9,Face,4,Pattern,BlackSquare,action,RotateRight
7,Block,9,Face,6,Pattern,BlackTopLeftCornerSquare,action,GoToFaceSix
8,Block,9,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
9,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
11,Block,8,Face,5,Pattern,BlackSquare,action,GoToFaceFive
12,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
13,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
14,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
16,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
17,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
18,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
19,Block,5,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
20,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
21,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
22,Block,4,Face,5,Pattern,BlackSquare,action,GoToFaceFive
23,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
24,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
25,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
26,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
27,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
28,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
29,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
30,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
31,Block,2,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
32,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
33,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
34,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
35,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
6,Block,8,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
7,Block,8,Face,3,Pattern,WhiteSquare,action,RotateLeft
8,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
11,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,6,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
14,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
15,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
16,Block,6,Face,3,Pattern,WhiteSquare,action,RotateLeft
17,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
18,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
19,Block,6,Face,3,Pattern,WhiteSquare,action,RotateLeft
20,Block,6,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
21,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
22,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
23,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
24,Block,5,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
25,Block,5,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
26,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
27,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
28,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
29,Block,4,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
30,Block,4,Face,6,Pattern,BlackTopRightCornerSquare,action,RotateLeft
31,Block,4,Face,5,Pattern,BlackSquare,action,GoToFaceFive
32,Block,4,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
33,Block,4,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
34,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
35,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
36,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
37,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
38,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
39,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
40,Block,2,Face,2,Pattern,WhiteSquare,action,RotateLeft
41,Block,2,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
42,Block,2,Face,6,Pattern,BlackBottomRightCornerSquare,action,RotateRight
43,Block,2,Face,6,Pattern,BlackTopRightCornerSquare,action,RotateLeft
44,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
45,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
46,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
47,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
48,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
49,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
50,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
51,Block,1,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
52,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateRight
53,Block,1,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
54,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
55,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
56,Block,1,Face,4,Pattern,BlackSquare,action,RotateRight
57,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
58,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
59,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
60,Block,1,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,5,Pattern,BlackSquare,action,GoToFaceFive
4,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
5,Block,9,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
6,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
8,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
11,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
14,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
16,Block,5,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
17,Block,5,Face,5,Pattern,BlackSquare,action,GoToFaceFive
18,Block,5,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
19,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
20,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
21,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
22,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
23,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
24,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
25,Block,4,Face,1,Pattern,BlackBottomLeftCornerSquare,action,RotateRight
26,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
27,Block,4,Face,6,Pattern,BlackTopLeftCornerSquare,action,GoToFaceSix
28,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
29,Block,4,Face,4,Pattern,BlackSquare,action,RotateRight
30,Block,4,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
31,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
32,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
33,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
34,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
35,Block,3,Face,4,Pattern,BlackSquare,action,RotateRight
36,Block,3,Face,4,Pattern,BlackSquare,action,RotateLeft
37,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
38,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
39,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
40,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
41,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
42,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
43,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
44,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
45,Block,1,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,5,Pattern,BlackSquare,action,GoToFaceFive
4,Block,9,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
5,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
6,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
8,Block,8,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,8,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
10,Block,8,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,8,Face,2,Pattern,WhiteSquare,action,RotateRight
12,Block,8,Face,5,Pattern,BlackSquare,action,GoToFaceFive
13,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
15,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
16,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
17,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
19,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
20,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
21,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
22,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
23,Block,5,Face,5,Pattern,BlackSquare,action,GoToFaceFive
24,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
25,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
26,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
27,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
28,Block,4,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
29,Block,4,Face,5,Pattern,BlackSquare,action,GoToFaceFive
30,Block,4,Face,5,Pattern,BlackSquare,action,RotateRight
31,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
32,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
33,Block,4,Face,5,Pattern,BlackSquare,action,GoToFaceFive
34,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
35,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
36,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
37,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
38,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
39,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
